event_name,category,city,country,year,venue_name,attendance,duration_days,ticket_price_early_bird,ticket_price_standard,ticket_price_vip,sponsors,speakers,communities_promoted,total_revenue_inr
AI Summit Delhi 2024,AI/ML,New Delhi,India,2024,Pragati Maidan,2200,2,1999,3999,9999,Google|Microsoft|AWS,Andrew Ng|Fei-Fei Li|Apoorv Saxena,LinkedIn AI India|Kaggle India,10500000
DevOps India Meetup 2024,DevOps / Cloud,Pune,India,2024,Symbiosis Auditorium,600,1,999,1499,3999,GitHub|Docker|Atlassian,Kelsey Hightower|Bret Fisher,DevOps India Slack|LinkedIn Cloud India,900000
FinTech Nexus India 2024,Fintech,Mumbai,India,2024,JW Marriott Mumbai,2000,2,3999,6999,15999,Visa|Mastercard|Paytm,Vijay Shekhar Sharma|Nandan Nilekani,Fintech India|LinkedIn Finance India,15000000
Web3 Connect 2024,Web3 / Blockchain,Bangalore,India,2024,KTPO Whitefield,900,2,2999,4999,11999,Polygon|Solana|CoinDCX,Sandeep Nailwal|Balaji Srinivasan,Crypto India Discord|Web3 India Telegram,6500000
Cloud Native Conf 2024,DevOps / Cloud,Hyderabad,India,2024,HICC,1200,2,1999,3499,8999,Red Hat|AWS|Google Cloud,Kelsey Hightower|Liz Rice,CNCF India|LinkedIn Cloud India,5200000
Data Science Congress 2024,AI/ML,Bangalore,India,2024,IISc Auditorium,1800,2,2499,4499,10999,NVIDIA|Databricks|Snowflake,Lex Fridman|Soumith Chintala,Kaggle India|Analytics Vidhya,8800000
Startup Growth Summit 2024,Startup,Delhi,India,2024,Leela Ambience,1500,1,2999,4999,12999,Sequoia|Accel|YCombinator,Ritesh Agarwal|Deepinder Goyal,Startup India|LinkedIn Founders,7200000
CyberSec India Expo 2024,Cybersecurity,Bangalore,India,2024,Palace Grounds,1300,2,1999,3499,8999,Fortinet|Palo Alto|Cisco,Bruce Schneier|Kevin Mitnick,ISACA India|CyberSec Discord,5800000
EdTech Future 2024,Edtech,Pune,India,2024,Balewadi Stadium,800,1,999,1999,5999,Byju's|Unacademy|Coursera,Gaurav Munjal|Roman Saini,EdTech India|LinkedIn Learning,2100000
Green Energy Summit 2024,ClimateTech,Ahmedabad,India,2024,Gandhinagar Convention Centre,700,1,1499,2499,6999,Tata Power|Adani Green|ReNew Power,Anand Mahindra|Sunita Narain,Climate India|EV Forum,2500000
HealthTech Connect 2024,Healthtech,Bangalore,India,2024,Manipal Auditorium,900,1,1999,2999,7999,Apollo|Practo|Cipla,Sangita Reddy|Shashank ND,HealthTech India|Docplexus,3600000
AI Builders Meetup 2024,AI/ML,Hyderabad,India,2024,T-Hub,500,1,0,999,2999,Microsoft|OpenAI|Google,Ilya Sutskever|Sam Altman,AI Builders India|Discord AI,900000
Cloud Expo India 2024,DevOps / Cloud,Chennai,India,2024,Chennai Trade Centre,1100,2,1999,3499,8999,AWS|Azure|Google Cloud,Werner Vogels|Mark Russinovich,Cloud India|LinkedIn DevOps,4700000
Blockchain Bharat 2024,Web3 / Blockchain,Delhi,India,2024,India Habitat Centre,600,2,2999,4999,11999,Binance|Polygon|Alchemy,Nischal Shetty|Sandeep Nailwal,Crypto India|Telegram Blockchain,4200000
SaaS India Summit 2024,Startup,Chennai,India,2024,ITC Grand Chola,1300,2,3999,6999,14999,Freshworks|Zoho|HubSpot,Girish Mathrubootham|Sridhar Vembu,SaaSBOOMi|LinkedIn SaaS,9800000
